"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","row_id"
"DEVAN THOMPKINS","ALABAMA",47,100,"A","DI",2026,"SEC",85.5,73.3,83.8,NA,0,2,4,1,0,0,4,5,3,0,0,0,0,2,0,1,0,2,2,28,0.25,0.179,10.7,19,0.67,0.105,0.368,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,0,2,3,2,0,3,2,0,1,0,0,6,6,0,0,0,"P4",47,47
"XAVIER LEWIS","N CAROLINA",51,90.98,"A","DI",2026,"ACC",74.3,64.3,79.4,NA,0,1,3,2,0,1,3,6,0,0,0,0,0,0,0,1,2,5,2,24,0.125,0.25,16.7,27,4.33,0.074,0.037,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,6,0,1,1,0,0,3,1,0,2,0,0,6,6,0,0,0,"P4",234,234
"WILL SMITH JR.","OHIO STATE",17,83.18,"A","DI",2026,"Big Ten",90.2,87.7,67.8,NA,0,1,4,1,0,0,0,1,0,0,0,0,0,3,0,0,0,5,0,4,0.25,0.25,25,13,0,0,0.538,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,5,0,1,3,3,0,3,1,0,1,0,0,5,5,0,0,0,"P4",88,88
"WILL ECHOLES","OLE MISS",54,78.69,"B","DI",2026,"SEC",90.8,74.8,90.9,NA,0,1,1,1,0,0,6,7,0,0,0,0,0,1,0,0,0,5,2,32,0.188,0.188,10.9,22,-1,0.091,0.273,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,3,0.4,1,1,1,0.333,1,1,1,0,0,0.5,5,5,0,0,1,"P4",211,211
"JAMIR PEREZ","OHIO STATE",17,75.21,"B","DI",2026,"Big Ten",83.6,72,83.8,NA,1,1,1,0,0,1,1,2,0,0,0,0,1,1,0,1,0,1,2,5,0.2,0.4,20,12,0,0.167,0.333,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,2,0,1,1,1,0,1,1,0,0,0,0,2,2,0,0,0,"P4",261,261
"A.J. HOLMES JR.","TEXAS TECH",50,71.72,"B","DI",2026,"Big 12",73.7,62.4,81,58.2,0,0,1,1,0,0,6,7,2,0,0,0,0,0,0,1,2,2,2,30,0.2,0.233,13.3,18,0,0.111,0.111,2,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,"P4",58,58
"RASHARD PERRY","SYRACUSE",46,70.38,"B","DI",2026,"ACC",77.9,73.5,65.4,63.5,0,3,3,1,0,0,2,3,0,0,0,0,0,1,0,1,0,2,3,23,0.087,0.13,8.7,23,1.5,0.13,0.304,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,6,0,3,2,1,0,2,1,0,1,0,0,6,6,2,0,0,"P4",137,137
"MICHAEL KILBANE","NWESTERN",37,69.85,"B","DI",2026,"Big Ten",91.9,92.3,73.8,60,0,1,3,0,0,0,2,2,1,0,0,0,0,1,0,0,0,2,0,19,0.158,0.105,5.3,18,2,0,0.167,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,5,0,1,3,1,0,3,1,0,0,0,0,5,5,0,1,0,"P4",141,141
"C.J. FITE","ARIZONA ST",41,68.48,"B","DI",2026,"Big 12",84.8,76.2,82,NA,0,0,1,1,0,1,0,2,4,0,0,0,0,0,0,1,0,0,0,15,0.333,0.133,10,26,0,0,0.192,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,"P4",95,95
"DONTA SIMPSON","MISSOURI",20,67.75,"B","DI",2026,"SEC",76.4,71.1,85.6,60,0,0,2,1,0,0,3,4,0,0,0,0,0,0,0,0,0,4,2,14,0.286,0.286,17.9,6,3.5,0,0.167,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,0.25,0,1,0,0,2,0,0,1,0,0.5,4,4,0,0,1,"P4",241,241
