"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"TREY PIERCE","MICHIGAN",16,32.41,"D"
"DK KALU","FLORIDA",20,32.38,"D"
"JAMARIOUS BROWN","OLE MISS",25,32.34,"D"
"CHRIS MURRAY","AUBURN",29,32.23,"D"
"HORACE LOCKETT","UCF",34,32.2,"D"
"MARQUIS GRACIAL","MISSOURI",33,32.15,"D"
"CURT NEAL","PURDUE",53,32.15,"D"
"LANCE JACKSON","TEXAS",31,32.1,"D"
"MARIO LANDINO","INDIANA",45,31.58,"D"
"LAVON JOHNSON","MARYLAND",35,31.29,"D"
"BRENDAN FLAKES","NWESTERN",33,31.1,"D"
"KJ HENSON","W VIRGINIA",27,30.77,"D"
"JAYLON STONE","VANDERBILT",39,30.33,"D"
"TRISTAN JOHNSON","TCU",18,30.25,"D"
"ARMSTRONG NNODIM","PENN STATE",15,30.21,"D"
"KAI MCCLENDON","WASHINGTON",23,29.68,"D"
"DEREK WILKINS","CAL",20,29.23,"D"
"IAN GEFFRARD","TEXAS",17,28.99,"D"
"DEREK COLMAN-BRUSA","WASHINGTON",45,28.99,"D"
"MARCUS CALVIN","KANSAS",42,28.86,"D"
"KEVIN WYNN","FLORIDA ST",16,28.61,"D"
"AHMAD MOTEN SR.","MIAMI FL",27,28.58,"D"
"KAMARI BURNS","KANSAS ST",34,28.54,"D"
"MIKESHUN BEELER","MICH STATE",19,28.45,"D"
"DEMETRIUS JOHN","ILLINOIS",22,28.38,"D"
"NAQUAN CROWDER","MINNESOTA",21,28.38,"D"
"TRAVIS BATES","KANSAS ST",52,28.28,"D"
"OWEN WAFLE","DUKE",17,28.16,"D"
"WISDOM SIMMS","PURDUE",20,28.15,"D"
"JOSHUA DONALD","LOUISVILLE",47,28.14,"D"
"KEMARI COPELAND","VA TECH",46,28.13,"D"
"DAROLD DENGOHE","UCLA",17,28.03,"D"
"RONDO PORTER","RUTGERS",46,27.84,"D"
"BRAD GURLEY JR.","UCF",36,27.78,"D"
"KARSON KAUFUSI","UTAH",29,26.99,"D"
"JONAH LEA'EA","MICHIGAN",20,26.78,"D"
"LEROY PALU","ARIZONA",29,26.67,"D"
"THEORIN RANDLE","MINNESOTA",27,26.65,"D"
"MARKIS DEAL","TCU",34,26.64,"D"
"JIREH MOE","UTAH",31,26.63,"D"
"DALLAS WALKER IV","AUBURN",51,26.53,"D"
"HOSEA WHEELER","BAYLOR",36,26.53,"D"
